track	clade	ref	n_bh	n_rbh	frac_nonrecip	many_to_one	median_pident
plant_arabidopsis	plant	tomato	21081	11240	0.46681846212229017	0.4047720696361653	58.3
plant_arabidopsis	plant	soybean	21939	12555	0.4277314371666895	0.31150006837139343	60.3
plant_arabidopsis	plant	poplar	22094	12813	0.42006879695845023	0.3147460849099303	61.7
plant_arabidopsis	plant	rice	19199	9405	0.510130735975832	0.44179384342934525	54.8
plant_arabidopsis	plant	maize	19439	9938	0.48875970986161843	0.4049076598590462	54.9
plant_arabidopsis	plant	amborella	19543	9590	0.5092872128127719	0.46973340838151767	56.3
plant_arabidopsis	plant	moss	16122	6528	0.5950874581317455	0.5056444609849895	48.3
plant_arabidopsis	plant	chlamydomonas	8173	3257	0.6014927199314817	0.5728618622292916	40.1
plant_arabidopsis	plant	grape	21199	11709	0.4476626255955469	0.3911033539317892	61.7
plant_arabidopsis	plant	potato	20459	10448	0.48932010362187794	0.41629600664744126	58.1
plant_arabidopsis	plant	selaginella	15947	6347	0.6019941054743839	0.49463848999811877	50.1
plant_arabidopsis	plant	marchantia	15481	6263	0.5954395710871391	0.5592016019636974	48.8
plant_arabidopsis	plant	a_halleri	24959	22089	0.11498858127328815	0.09695901278096075	93.0
plant_arabidopsis	plant	capsella	24319	20586	0.15350137752374682	0.13421604506764262	87.7
plant_arabidopsis	plant	camelina	24917	21981	0.11783119958261423	0.07593209455391903	88.5
plant_arabidopsis	plant	brassica_rapa	23793	18648	0.21624007060900263	0.17832976085403274	81.0
plant_arabidopsis	plant	brassica_oleracea	24121	18784	0.22125948343766844	0.17760457692467146	80.7
