label	list_id	aspect	n_truth	n_trans	wang_bma	ref	method	evset	category	namespace	recall	track	clade	median_pident
amphioxus.rbh.all	SYN_GO0043227	BP	50	38	0.7187394569685145	amphioxus	rbh	all	other	cellular_component	0.1566265060240964	fish	fish	50.6
amphioxus.rbh.all	SYN_GO0043228	BP	50	34	0.664480535654319	amphioxus	rbh	all	other	cellular_component	0.1463414634146341	fish	fish	50.6
amphioxus.rbh.all	SYN_GO0043231	BP	50	28	0.7532530035693155	amphioxus	rbh	all	other	cellular_component	0.1627906976744186	fish	fish	50.6
amphioxus.rbh.all	SYN_GO0043232	BP	50	34	0.664480535654319	amphioxus	rbh	all	other	cellular_component	0.1463414634146341	fish	fish	50.6
amphioxus.rbh.all	SYN_GO0043565	BP	50	44	0.9019043548497544	amphioxus	rbh	all	other	molecular_function	0.1617021276595744	fish	fish	50.6
amphioxus.rbh.all	SYN_GO0044238	BP	50	36	0.8633958920033129	amphioxus	rbh	all	conserved	biological_process	0.1835443037974683	fish	fish	50.6
amphioxus.rbh.all	SYN_GO0044281	BP	50	32	0.8263800253691999	amphioxus	rbh	all	conserved	biological_process	0.3396226415094339	fish	fish	50.6
amphioxus.rbh.all	SYN_GO0044419	BP	50	20	0.8242532628567341	amphioxus	rbh	all	other	biological_process	0.1978021978021978	fish	fish	50.6
amphioxus.rbh.all	SYN_GO0046530	BP	50	37	0.6942539751278217	amphioxus	rbh	all	specific	biological_process	0.1363636363636363	fish	fish	50.6
amphioxus.rbh.all	SYN_GO0048483	BP	13	0	0.0	amphioxus	rbh	all	specific	biological_process	0.0	fish	fish	50.6
amphioxus.rbh.all	SYN_GO0048609	BP	50	12	0.6541348484189998	amphioxus	rbh	all	specific	biological_process	0.1264367816091954	fish	fish	50.6
amphioxus.rbh.all	SYN_GO0048705	BP	50	43	0.4788386502707543	amphioxus	rbh	all	specific	biological_process	0.050179211469534	fish	fish	50.6
amphioxus.rbh.all	SYN_GO0048871	BP	50	13	0.2331672751888965	amphioxus	rbh	all	specific	biological_process	0.0	fish	fish	50.6
amphioxus.rbh.all	SYN_GO0048872	BP	45	0	0.0	amphioxus	rbh	all	specific	biological_process	0.0	fish	fish	50.6
amphioxus.rbh.all	SYN_GO0048881	BP	50	17	0.6543826988077461	amphioxus	rbh	all	specific	biological_process	0.0648648648648648	fish	fish	50.6
amphioxus.rbh.all	SYN_GO0048882	BP	50	15	0.6866349058516689	amphioxus	rbh	all	specific	biological_process	0.0461538461538461	fish	fish	50.6
amphioxus.rbh.all	SYN_GO0051216	BP	50	48	0.4800993672405999	amphioxus	rbh	all	specific	biological_process	0.0595238095238095	fish	fish	50.6
amphioxus.rbh.all	SYN_GO0051640	BP	50	48	0.7608854051616423	amphioxus	rbh	all	other	biological_process	0.1705882352941176	fish	fish	50.6
amphioxus.rbh.all	SYN_GO0055001	BP	50	50	0.6642729287498619	amphioxus	rbh	all	specific	biological_process	0.2019230769230769	fish	fish	50.6
amphioxus.rbh.all	SYN_GO0060089	BP	39	49	0.8292528374732036	amphioxus	rbh	all	other	molecular_function	0.6153846153846154	fish	fish	50.6
amphioxus.rbh.all	SYN_GO0060271	BP	50	44	0.7365316866699559	amphioxus	rbh	all	other	biological_process	0.2180451127819548	fish	fish	50.6
amphioxus.rbh.all	SYN_GO0060284	BP	50	26	0.6068112542771124	amphioxus	rbh	all	other	biological_process	0.0727969348659003	fish	fish	50.6
amphioxus.rbh.all	SYN_GO0070121	BP	50	18	0.683245631615505	amphioxus	rbh	all	specific	biological_process	0.1	fish	fish	50.6
amphioxus.rbh.all	SYN_GO0070887	BP	50	7	0.469392170389522	amphioxus	rbh	all	other	biological_process	0.0631578947368421	fish	fish	50.6
amphioxus.rbh.all	SYN_GO0071944	BP	50	46	0.7569876525072937	amphioxus	rbh	all	other	cellular_component	0.1256281407035175	fish	fish	50.6
amphioxus.rbh.all	SYN_GO0090287	BP	50	50	0.8272089131750269	amphioxus	rbh	all	other	biological_process	0.190721649484536	fish	fish	50.6
amphioxus.rbh.all	SYN_GO0090304	BP	50	50	0.9432806677638578	amphioxus	rbh	all	conserved	biological_process	0.3109243697478991	fish	fish	50.6
amphioxus.rbh.all	SYN_GO0090497	BP	50	1	0.1586294674787054	amphioxus	rbh	all	other	biological_process	0.0	fish	fish	50.6
amphioxus.rbh.all	SYN_GO0090596	BP	50	38	0.551881626718678	amphioxus	rbh	all	specific	biological_process	0.0575539568345323	fish	fish	50.6
amphioxus.rbh.all	SYN_GO0120025	BP	50	44	0.8133914111064434	amphioxus	rbh	all	other	cellular_component	0.2727272727272727	fish	fish	50.6
amphioxus.rbh.all	SYN_GO0140096	BP	16	3	0.5414607184456862	amphioxus	rbh	all	other	molecular_function	0.0625	fish	fish	50.6
amphioxus.rbh.all	SYN_GO0140110	BP	50	50	0.8141009635518796	amphioxus	rbh	all	other	molecular_function	0.2697368421052631	fish	fish	50.6
amphioxus.rbh.all	SYN_GO0141187	BP	50	50	0.908928223747486	amphioxus	rbh	all	conserved	biological_process	0.3300970873786408	fish	fish	50.6
amphioxus.rbh.all	SYN_GO1902679	BP	50	50	0.8534889573156628	amphioxus	rbh	all	other	biological_process	0.3917525773195876	fish	fish	50.6
astyanax.rbh.all	SYN_GO0000902	BP	50	50	0.8152060071973745	astyanax	rbh	all	specific	biological_process	0.2894736842105263	fish	fish	76.5
astyanax.rbh.all	SYN_GO0000981	BP	50	50	0.7967125431924563	astyanax	rbh	all	other	molecular_function	0.4639175257731959	fish	fish	76.5
astyanax.rbh.all	SYN_GO0001568	BP	50	50	0.7392278665019115	astyanax	rbh	all	specific	biological_process	0.4177215189873418	fish	fish	76.5
astyanax.rbh.all	SYN_GO0001756	BP	50	50	0.8199917782893678	astyanax	rbh	all	specific	biological_process	0.1725067385444744	fish	fish	76.5
astyanax.rbh.all	SYN_GO0001775	BP	50	40	0.6330614499242011	astyanax	rbh	all	specific	biological_process	0.1584158415841584	fish	fish	76.5
astyanax.rbh.all	SYN_GO0001947	BP	50	50	0.8694743451311865	astyanax	rbh	all	specific	biological_process	0.2465277777777778	fish	fish	76.5
astyanax.rbh.all	SYN_GO0002521	BP	50	20	0.5670415845788204	astyanax	rbh	all	specific	biological_process	0.0535714285714285	fish	fish	76.5
