label	list_id	aspect	n_truth	n_trans	wang_bma	ref	method	evset	track	clade	median_pident	My	recall
amphioxus.rbh.all	SYN_GO0006355	BP	50	50	0.8799667395968765	amphioxus	rbh	all	fish	fish	50.6	650	0.1990521327014218
amphioxus.rbh.all	SYN_GO0006355	CC	15	9	0.8491808253535874	amphioxus	rbh	all	fish	fish	50.6	650	0.4
amphioxus.rbh.all	SYN_GO0006355	MF	21	16	0.9392815242734368	amphioxus	rbh	all	fish	fish	50.6	650	0.7142857142857143
amphioxus.rbh.all	SYN_GO0006396	BP	50	45	0.8436386249947871	amphioxus	rbh	all	fish	fish	50.6	650	0.4029850746268656
amphioxus.rbh.all	SYN_GO0006396	CC	19	31	0.7769865839418647	amphioxus	rbh	all	fish	fish	50.6	650	0.5789473684210527
amphioxus.rbh.all	SYN_GO0006396	MF	7	8	0.8792150806033094	amphioxus	rbh	all	fish	fish	50.6	650	0.5714285714285714
amphioxus.rbh.all	SYN_GO0006629	BP	45	46	0.7520117832141144	amphioxus	rbh	all	fish	fish	50.6	650	0.3777777777777777
amphioxus.rbh.all	SYN_GO0006629	CC	0	6	0.0	amphioxus	rbh	all	fish	fish	50.6	650	
amphioxus.rbh.all	SYN_GO0006629	MF	15	11	0.6948147082139992	amphioxus	rbh	all	fish	fish	50.6	650	0.1333333333333333
amphioxus.rbh.all	SYN_GO0006811	BP	40	50	0.7794191539911494	amphioxus	rbh	all	fish	fish	50.6	650	0.65
amphioxus.rbh.all	SYN_GO0006811	CC	3	15	0.6348472483814599	amphioxus	rbh	all	fish	fish	50.6	650	0.6666666666666666
amphioxus.rbh.all	SYN_GO0006811	MF	41	28	0.7926678109888418	amphioxus	rbh	all	fish	fish	50.6	650	0.4390243902439024
amphioxus.rbh.all	SYN_GO0007049	BP	50	50	0.8251508925469563	amphioxus	rbh	all	fish	fish	50.6	650	0.2706766917293233
amphioxus.rbh.all	SYN_GO0007049	CC	7	13	0.8797757792461972	amphioxus	rbh	all	fish	fish	50.6	650	0.8571428571428571
amphioxus.rbh.all	SYN_GO0007049	MF	2	0	0.0	amphioxus	rbh	all	fish	fish	50.6	650	0.0
amphioxus.rbh.all	SYN_GO0007369	BP	50	45	0.5290266591110147	amphioxus	rbh	all	fish	fish	50.6	650	0.0892857142857142
amphioxus.rbh.all	SYN_GO0007369	CC	0	12	0.0	amphioxus	rbh	all	fish	fish	50.6	650	
amphioxus.rbh.all	SYN_GO0007369	MF	5	9	0.5523929410697346	amphioxus	rbh	all	fish	fish	50.6	650	0.2
amphioxus.rbh.all	SYN_GO0007600	BP	50	20	0.655963844819925	amphioxus	rbh	all	fish	fish	50.6	650	0.1466666666666666
amphioxus.rbh.all	SYN_GO0007600	CC	0	13	0.0	amphioxus	rbh	all	fish	fish	50.6	650	
amphioxus.rbh.all	SYN_GO0007600	MF	0	2	0.0	amphioxus	rbh	all	fish	fish	50.6	650	
amphioxus.rbh.all	SYN_GO0007626	BP	50	0	0.0	amphioxus	rbh	all	fish	fish	50.6	650	0.0
amphioxus.rbh.all	SYN_GO0007626	CC	8	0	0.0	amphioxus	rbh	all	fish	fish	50.6	650	0.0
amphioxus.rbh.all	SYN_GO0008283	BP	50	7	0.3629102644854304	amphioxus	rbh	all	fish	fish	50.6	650	0.0163934426229508
amphioxus.rbh.all	SYN_GO0008283	CC	4	0	0.0	amphioxus	rbh	all	fish	fish	50.6	650	0.0
amphioxus.rbh.all	SYN_GO0008324	BP	21	44	0.7864656744203127	amphioxus	rbh	all	fish	fish	50.6	650	0.7142857142857143
amphioxus.rbh.all	SYN_GO0008324	CC	7	16	0.8433530328408437	amphioxus	rbh	all	fish	fish	50.6	650	0.8571428571428571
amphioxus.rbh.all	SYN_GO0008324	MF	40	38	0.8869401314151713	amphioxus	rbh	all	fish	fish	50.6	650	0.65
amphioxus.rbh.all	SYN_GO0009056	BP	50	19	0.6526925779307804	amphioxus	rbh	all	fish	fish	50.6	650	0.0933333333333333
amphioxus.rbh.all	SYN_GO0009056	CC	0	1	0.0	amphioxus	rbh	all	fish	fish	50.6	650	
amphioxus.rbh.all	SYN_GO0009056	MF	5	0	0.0	amphioxus	rbh	all	fish	fish	50.6	650	0.0
amphioxus.rbh.all	SYN_GO0009058	BP	50	41	0.8758335456943593	amphioxus	rbh	all	fish	fish	50.6	650	0.2265625
amphioxus.rbh.all	SYN_GO0009058	CC	19	7	0.6489088016736125	amphioxus	rbh	all	fish	fish	50.6	650	0.1052631578947368
