track	ref	clade	method	evset	aspect	ic_bin	wang_bma	recall	f1	n_terms	median_pident
fish	elephantshark	fish	besthit	all	MF	shallow		0.5286315816994819	0.41213538518211884	14.11	63.3
fish	elephantshark	fish	rbh	all	BP	mid			0.0	0.0	63.3
fish	elephantshark	fish	rbh	all	BP	shallow		0.28365882981645224	0.35208488575756425	125.15238095238095	63.3
fish	elephantshark	fish	rbh	all	CC	mid			0.0	0.0	63.3
fish	elephantshark	fish	rbh	all	CC	shallow		0.39352961404385634	0.34580598680864133	11.160919540229886	63.3
fish	elephantshark	fish	rbh	all	MF	mid			0.0	0.0	63.3
fish	elephantshark	fish	rbh	all	MF	shallow		0.50534967213229	0.4221678882285555	15.01063829787234	63.3
fish	fruitfly	fish	besthit	all	BP	mid			0.0	0.0	45.1
fish	fruitfly	fish	besthit	all	BP	shallow		0.2696072847519241	0.30371008025627105	125.15238095238095	45.1
fish	fruitfly	fish	besthit	all	CC	mid			0.0	0.0	45.1
fish	fruitfly	fish	besthit	all	CC	shallow		0.3779067040620642	0.31910022859623677	10.554347826086957	45.1
fish	fruitfly	fish	besthit	all	MF	mid			0.0	0.0	45.1
fish	fruitfly	fish	besthit	all	MF	shallow		0.4715005612593106	0.3487561808837751	14.697916666666666	45.1
fish	fruitfly	fish	besthit	exp	BP	mid			0.0	0.0	45.1
fish	fruitfly	fish	besthit	exp	BP	shallow		0.22523010886100525	0.2682685634172948	125.15238095238095	45.1
fish	fruitfly	fish	besthit	exp	CC	mid			0.0	0.0	45.1
fish	fruitfly	fish	besthit	exp	CC	shallow		0.3302082208515304	0.32446573439328186	11.290697674418604	45.1
fish	fruitfly	fish	besthit	exp	MF	mid			0.0	0.0	45.1
fish	fruitfly	fish	besthit	exp	MF	shallow		0.4038158463700433	0.3300328677902515	15.01063829787234	45.1
fish	fruitfly	fish	rbh	all	BP	mid			0.0	0.0	45.1
fish	fruitfly	fish	rbh	all	BP	shallow		0.2086897820944068	0.26172980235167875	130.23469387755102	45.1
fish	fruitfly	fish	rbh	all	CC	mid			0.0	0.0	45.1
fish	fruitfly	fish	rbh	all	CC	shallow		0.4257171016604431	0.32041610354195843	10.686046511627907	45.1
fish	fruitfly	fish	rbh	all	MF	mid			0.0	0.0	45.1
fish	fruitfly	fish	rbh	all	MF	shallow		0.32366423989197957	0.2987469557615027	15.08235294117647	45.1
fish	fruitfly	fish	rbh	exp	BP	mid			0.0	0.0	45.1
fish	fruitfly	fish	rbh	exp	BP	shallow		0.13961445565951272	0.19432129872992981	129.15463917525773	45.1
fish	fruitfly	fish	rbh	exp	CC	mid			0.0	0.0	45.1
fish	fruitfly	fish	rbh	exp	CC	shallow		0.2764308440513787	0.28814438873698095	12.816901408450704	45.1
fish	fruitfly	fish	rbh	exp	MF	mid			0.0	0.0	45.1
fish	fruitfly	fish	rbh	exp	MF	shallow		0.2016670159939542	0.2353096770575931	15.802631578947368	45.1
fish	fugu	fish	besthit	all	BP	mid			0.0	0.0	70.3
fish	fugu	fish	besthit	all	BP	shallow		0.3480806430742764	0.40500998047095527	125.15238095238095	70.3
fish	fugu	fish	besthit	all	CC	mid			0.0	0.0	70.3
fish	fugu	fish	besthit	all	CC	shallow		0.3809102487899744	0.30745163190626157	10.440860215053764	70.3
fish	fugu	fish	besthit	all	MF	mid			0.0	0.0	70.3
fish	fugu	fish	besthit	all	MF	shallow		0.5152566991212687	0.38566554185657437	14.11	70.3
fish	fugu	fish	rbh	all	BP	mid			0.0	0.0	70.3
fish	fugu	fish	rbh	all	BP	shallow		0.32972450574171935	0.39167715660061075	125.15238095238095	70.3
fish	fugu	fish	rbh	all	CC	mid			0.0	0.0	70.3
fish	fugu	fish	rbh	all	CC	shallow		0.3597329615456241	0.31166618825161635	11.034090909090908	70.3
fish	fugu	fish	rbh	all	MF	mid			0.0	0.0	70.3
fish	fugu	fish	rbh	all	MF	shallow		0.43797936259173176	0.3764011374556751	14.697916666666666	70.3
fish	gar	fish	besthit	all	BP	mid			0.0	0.0	70.4
fish	gar	fish	besthit	all	BP	shallow		0.37056166139129315	0.4308412105106557	125.15238095238095	70.4
fish	gar	fish	besthit	all	CC	mid			0.0	0.0	70.4
fish	gar	fish	besthit	all	CC	shallow		0.5029932409699083	0.36303235035841475	10.114583333333334	70.4
fish	gar	fish	besthit	all	MF	mid			0.0	0.0	70.4
fish	gar	fish	besthit	all	MF	shallow		0.5486075562131634	0.38152463035801265	13.567307692307692	70.4
fish	gar	fish	rbh	all	BP	mid			0.0	0.0	70.4
fish	gar	fish	rbh	all	BP	shallow		0.35392871132217185	0.4225934591861771	125.15238095238095	70.4
fish	gar	fish	rbh	all	CC	mid			0.0	0.0	70.4
fish	gar	fish	rbh	all	CC	shallow		0.44796801029470035	0.34995533715620536	10.221052631578948	70.4
fish	gar	fish	rbh	all	MF	mid			0.0	0.0	70.4
fish	gar	fish	rbh	all	MF	shallow		0.5355556258390621	0.40699384793891813	14.697916666666666	70.4
fish	goldfish	fish	besthit	all	BP	mid			0.0	0.0	87.2
