track	ref	median_pident	string_conservation	edge_rate	n_genes	n_edges	GO_Wang	GO_recall
plant_arabidopsis	rice	60.4	0.1408253205128205	0.5551145201952475	1200	37286	0.6732264005067666	0.2748729140267859
plant_arabidopsis	selaginella	55.4	0.2	0.8265066248753383	1314	28076	0.5923885249680391	0.17871273982219305
plant_arabidopsis	moss	54.3	0.18433179723502305	0.6912878787878788	1235	32736	0.5773066690553419	0.18977435039152402
plant_arabidopsis	chlamydomonas	45.5	0.2981366459627329	0.6507744033511547	799	18143	0.4797575667100259	0.13252148221804697
fungi	k_lactis	54.3	0.037166406226062446	0.7066666666666667	12	75	0.8478274780950515	0.40126007754500337
fungi	e_gossypii	53.4	0.036213829880234284	0.72	12	75	0.8610206663960437	0.4278722847235332
fungi	c_albicans	45.2	0.02147239263803681	0.37333333333333335	9	75	0.8271360477875206	0.4045678967270081
fungi	aspergillus	41.4	0.015905045110652587	0.2	6	75	0.7846339268139733	0.32184835682579255
fungi	human	37.8	0.0	0.0	1	66	0.7179826922071796	0.3264387252759178
insect	d_simulans	96.3	0.4451951951951952	0.6970036993530515	3072	57037	0.7677267471330147	0.23404944543350376
insect	d_ananassae	81.0	0.5	0.7655812429243878	3476	67132	0.7925429711727644	0.27370087501855844
insect	d_virilis	73.8	0.5	0.7588352585258525	2990	58176	0.8007619711284338	0.2921591605835882
insect	d_grimshawi	73.3	0.48214285714285715	0.7568081295463683	2854	54714	0.801576837769987	0.2881157204579895
insect	aedes	55.5	0.14705882352941177	0.14932881532646944	769	38365	0.8122457207251919	0.30857733089293926
insect	tribolium	51.3	0.4337952913675071	0.8139152775288283	1810	33474	0.8003158610178854	0.3060784835589308
insect	aphid	48.3	0.0	3.125488357555868e-05	12	31995	0.7811627514713967	0.26620537837236713
insect	celegans	40.6	0.3110477135532953	0.8112185686653772	1110	23265	0.7431807528852417	0.2891403254452289
insect	yeast	37.9	0.009125783158118296	0.0013040076501782145	6	11503	0.6276756628087828	0.20776414468884505
