track	ref	clade	median_pident	My	ref_exp_richness	ref_allev_richness	n_orthologs_rbh	n_orthologs_besthit	equidistant_group	truth_cov
plant_arabidopsis	poplar	plant	65.9	110	2.417	3.857	12813	22094		0.495
plant_arabidopsis	potato	plant	63.9	110	1.887	3.657	10448	20459		0.495
plant_arabidopsis	rice	plant	60.4	160	2.742	3.684	9405	19199	plant_arabidopsis_eqd	0.495
plant_arabidopsis	selaginella	plant	55.4	420	2.6	3.883	6347	15947		0.495
plant_arabidopsis	soybean	plant	64.6	110	2.613	3.825	12555	21939		0.495
plant_arabidopsis	tomato	plant	63.4	110	3.052	4.018	11240	21081		0.495
fungi	aspergillus	fungi	41.4	450	2.434	5.193	2495	3219	fungi_eqd	0.908
fungi	c_albicans	fungi	45.2	200	3.949	7.744	3249	3911		0.908
fungi	c_glabrata	fungi	58.1	80	1.942	9.29	4295	4848		0.908
fungi	cryptococcus	fungi	39.9	800	2.385	4.847	2124	2820		0.908
fungi	e_gossypii	fungi	53.4	120	1.25	5.383	3962	4582		0.908
fungi	human	fungi	37.8	1500	9.085	14.578	1708	2310		0.908
fungi	k_lactis	fungi	54.3	110	1.583	5.473	4101	4712		0.908
fungi	k_marxianus	fungi	54.0	110	2.0	5.189	3927	4567		0.908
fungi	magnaporthe	fungi	41.1	450	1.908	4.548	2500	3197		0.908
fungi	neurospora	fungi	41.3	450	1.366	5.075	2466	3154	fungi_eqd	0.908
fungi	pombe	fungi	41.2	550	4.375	8.633	2433	3167	fungi_eqd	0.908
fungi	s_uvarum	fungi	84.3	20	0.0	5.508	5268	5501		0.908
fungi	torulaspora	fungi	59.9	110	0.0	8.334	4414	5121		0.908
fungi	yarrowia	fungi	43.9	300	2.273	5.985	2898	3596		0.908
fungi	z_rouxii	fungi	58.5	100	2.0	5.501	4293	4915		0.908
insect	aedes	insect	55.5	250	2.294	5.328	7027	9244		0.456
insect	anopheles	insect	55.2	250	3.089	4.882	6752	8958	insect_eqd	0.456
insect	aphid	insect	48.3	400	0.0	4.907	5145	7491		0.456
insect	apis	insect	50.4	330	2.658	5.875	5681	7971	insect_eqd	0.456
insect	bombyx	insect	49.8	350	2.738	5.289	6016	8302		0.456
insect	celegans	insect	40.6	700	4.825	6.222	3444	5563		0.456
insect	d_ananassae	insect	81.0	25	1.0	6.678	11969	12689		0.456
insect	d_grimshawi	insect	73.3	50	1.0	6.428	10470	11737		0.456
insect	d_simulans	insect	96.3	5	3.25	6.785	10995	11784		0.456
insect	d_virilis	insect	73.8	40	1.273	6.591	10988	12163		0.456
insect	d_yakuba	insect	93.1	10	1.0	6.836	12833	13166		0.456
insect	daphnia	insect	49.1	500	2.0	4.435	4734	7115		0.456
insect	mouse	insect	44.9	700	8.503	15.492	4580	6863		0.456
insect	nasonia	insect	50.8	330	1.0	5.685	5599	7913		0.456
insect	tribolium	insect	51.3	350	1.153	5.166	6073	8392	insect_eqd	0.456
insect	yeast	insect	37.9	1500	6.943	10.104	1535	2662		0.456
