track	clade	ref	aspect	median_pident	wang	recall	n	wang_lo	wang_hi	recall_lo	recall_hi
fish	fish	fruitfly	BP	45.1	0.6115740970160615	0.2086897820944068	98	0.5585430409300106	0.6609990030151307	0.17107608979622044	0.24633462505849335
fish	fish	fruitfly	CC	45.1	0.5022540030671688	0.425717101660443	88	0.4271463848793145	0.5748230783002246	0.3343883494311503	0.5124594674097637
fish	fish	fruitfly	MF	45.1	0.49304036604976414	0.32366423989197957	86	0.4228677815626579	0.5657296430487396	0.2592847735474666	0.3940596172963235
fish	fish	fugu	BP	70.3	0.756331857089496	0.32972450574171935	105	0.7368836684261004	0.7740273863915741	0.29633358769330115	0.36511460858598355
fish	fish	fugu	CC	70.3	0.502616949424011	0.35973296154562406	93	0.42925667005341067	0.5732148270934637	0.2821086312230985	0.4357893321764407
fish	fish	fugu	MF	70.3	0.5242634223710352	0.4379793625917317	103	0.4621912076164677	0.5877485486940832	0.3685741222255909	0.5078726315471918
fish	fish	gar	BP	70.4	0.7677065774208317	0.35392871132217185	105	0.7434805142550924	0.788935530085323	0.31992185789130323	0.3878872134422605
fish	fish	gar	CC	70.4	0.516656170354593	0.44796801029470035	97	0.44779952326652017	0.5867083788603688	0.3794026107669716	0.5176953264957481
fish	fish	gar	MF	70.4	0.5292810224161061	0.5355556258390622	103	0.4579438916260751	0.596113728488191	0.463321599859508	0.604077754052679
fish	fish	goldfish	BP	87.2	0.7611125736260104	0.35695986913176825	105	0.7434460952600146	0.7780137595628088	0.3290202287406011	0.3865368956258326
fish	fish	goldfish	CC	87.2	0.480357037647158	0.40627473836232963	99	0.4149458930339494	0.5484475753829474	0.33107944676922957	0.4767709839264085
fish	fish	goldfish	MF	87.2	0.5300416001878043	0.5333700440210893	104	0.4691167293308378	0.5971901511677558	0.4703815099915025	0.5967583714325885
fish	fish	grasscarp	BP	62.4	0.7525491431384573	0.33457903851899345	105	0.7257197065431564	0.7769883292894096	0.2959053169784816	0.3774777470355475
fish	fish	grasscarp	CC	62.4	0.5050048978339907	0.3559733032896051	93	0.4315040083751812	0.5726661182963361	0.2912849781579175	0.4215193673557399
fish	fish	grasscarp	MF	62.4	0.5429689793444802	0.508215786363563	99	0.4760195161445944	0.6115304621376364	0.4345431910613599	0.5778810953744383
fish	fish	human	BP	63.1	0.7463370319066756	0.43109434228015064	105	0.7275199655421861	0.7650611192198299	0.4019691133217807	0.4589941731127308
fish	fish	human	CC	63.1	0.49650619914867833	0.4342828840975765	97	0.42916305291604356	0.5597570091336445	0.360689049198384	0.5049612613389161
fish	fish	human	MF	63.1	0.5429430897246426	0.539994496932701	102	0.480790262633484	0.6050591974786803	0.4678875389611514	0.6085908815307809
fish	fish	lamprey	BP	56.4	0.6722130926778481	0.24541761060406717	105	0.6235608193830532	0.7200133436821566	0.20891266876558703	0.2854044699179115
fish	fish	lamprey	CC	56.4	0.5395011483560659	0.3948861050645231	90	0.46710602990415195	0.6073887860965075	0.3190454355411881	0.4750411756947043
fish	fish	lamprey	MF	56.4	0.5056108076391661	0.32708002091032506	96	0.43573126278050056	0.5795842578533972	0.26951065142929787	0.3849312871800931
fish	fish	medaka	BP	70.4	0.7731463194675042	0.34627966039459224	105	0.754064066836109	0.7913496774625001	0.31735889665826	0.37537743149158004
